Company Name,Industry,Symbol,logo,FNO
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532296.png,True
Global Health Ltd.,Healthcare,MEDANTA.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK543654.png,False
Go Fashion (India) Ltd.,Consumer Services,GOCOLORS.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK543401.png,False
Godawari Power & Ispat Ltd.,Capital Goods,GPIL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532734.png,False
Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,GODFRYPHLP.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500163.png,False
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532424.png,True
Godrej Industries Ltd.,Diversified,GODREJIND.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500164.png,False
Godrej Properties Ltd.,Realty,GODREJPROP.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK533150.png,True
Granules India Ltd.,Healthcare,GRANULES.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532482.png,True
Graphite India Ltd.,Capital Goods,GRAPHITE.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK509488.png,False
Grasim Industries Ltd.,Construction Materials,GRASIM.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500300.png,True
Great Eastern Shipping Co. Ltd.,Services,GESHIP.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500620.png,False
Grindwell Norton Ltd.,Capital Goods,GRINDWELL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK506076.png,False
Gujarat Alkalies & Chemicals Ltd.,Chemicals,GUJALKALI.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK530001.png,False
Gujarat Ambuja Exports Ltd.,Fast Moving Consumer Goods,GAEL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK524226.png,False
Gujarat Fluorochemicals Ltd.,Chemicals,FLUOROCHEM.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK542812.png,False
